id,name,address,type,typecode,pcode,pname,citycode,cityname,adcode,adname,business_area,location,tel,bigType,midType,smallType,gcj_lng,gcj_lat,wgs84_loc,wgs84Lng,wgs84Lat,geometry
B0FFL4RQ3Q,小马海鲜(双辽菜市场店),双辽支路双辽菜市场(江浦路地铁站6号口步行350米),餐饮服务;中餐厅;浙江菜,050106,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.517633,31.270112",15821996567,餐饮服务,中餐厅,浙江菜,121.517633,31.270112,"121.513261,31.272166",121.513261,31.272166,POINT (121.513261 31.272166)
B0FFGQIE0J,浙江绍兴古越龙山(沈永和黄酒专卖店),国定路阳普平昌菜市场NO.029,购物服务;专卖店;烟酒专卖店,061210,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.513650,31.294167",13918869387;18217303396,购物服务,专卖店,烟酒专卖店,121.51365,31.294167,"121.509262,31.296199",121.509262,31.296199,POINT (121.509262 31.296199)
B00155QT5W,同济大学出版社,四平路1239号同济大学四平路校区,科教文化服务;传媒机构;出版社,141105,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.504279,31.279172",021-65981474,科教文化服务,传媒机构,出版社,121.504279,31.279172,"121.499859,31.281182",121.499859,31.281182,POINT (121.499859 31.281182)
B0FFGSFEG2,普长岭菜市场,延吉西路长岭路56号,购物服务;综合市场;蔬菜市场,060705,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.520148,31.280692",021-65039546,购物服务,综合市场,蔬菜市场,121.520148,31.280692,"121.515784,31.282748",121.515784,31.282748,POINT (121.515784 31.282748)
B0FFF5UIGO,同济大学网球场(赤峰路),四平路1239号同济大学,体育休闲服务;运动场馆;网球场,080103,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.501584,31.282734",[],体育休闲服务,运动场馆,网球场,121.501584,31.282734,"121.497154,31.284735",121.497154,31.284735,POINT (121.497154 31.284735)
B0FFKAXSRD,上汽荣威体验中心(杨浦邯郸路店),邯郸路195号(复旦大学地铁站2号口步行440米),汽车销售;汽车销售;汽车销售|汽车维修;汽车维修;汽车维修,020000|030000,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.501016,31.295132",021-35363070;021-65800689,汽车销售,汽车销售,汽车销售|汽车维修,121.501016,31.295132,"121.496583,31.297126",121.496583,31.297126,POINT (121.496583 31.297126)
B0FFFOGAVF,上海德国中心,四平路1239号同济大学四平路校区科学苑,商务住宅;商务住宅相关;商务住宅相关,120000,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.50551,31.282219",[],商务住宅,商务住宅相关,商务住宅相关,121.50551,31.282219,"121.501094,31.284232",121.501094,31.284232,POINT (121.501094 31.284232)
B00156EIOO,上海开放大学国际会议中心,政法路195号,科教文化服务;会展中心;会展中心,140300,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.513691,31.293023",[],科教文化服务,会展中心,会展中心,121.513691,31.293023,"121.509304,31.295056",121.509304,31.295056,POINT (121.509304 31.295056)
B0FFK8ZXO3,上海华联商厦,大连路1176号,购物服务;便民商店/便利店;便民商店/便利店,060200,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.506974,31.267845",[],购物服务,便民商店/便利店,便民商店/便利店,121.506974,31.267845,"121.502565,31.269868",121.502565,31.269868,POINT (121.502565 31.269868)
B0H2A78GTW,上海畅摇建筑设计有限公司,上海国际设计中心东楼302室,公司企业;公司;建筑公司,170202,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.501959,31.287017",[],公司企业,公司,建筑公司,121.501959,31.287017,"121.49753,31.289017",121.49753,31.289017,POINT (121.49753 31.289017)
B0H0ZAWGD1,上海五方建筑科技,国康路100号上海国际设计中心西楼504室,公司企业;公司;建筑公司,170202,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.501454,31.287058",[],公司企业,公司,建筑公司,121.501454,31.287058,"121.497023,31.289057",121.497023,31.289057,POINT (121.497023 31.289057)
B0IATZO205,复旦大学国家大学科技园地面停车场,[],交通设施服务;停车场;公共停车场,150904,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.505987,31.289074",[],交通设施服务,停车场,公共停车场,121.505987,31.289074,"121.501572,31.291085",121.501572,31.291085,POINT (121.501572 31.291085)
B0FFFWUDWX,大连西路4弄小区停车场,大连西路4弄(四平路地铁站1号口步行230米),交通设施服务;停车场;公共停车场,150904,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.500480,31.275946",[],交通设施服务,停车场,公共停车场,121.50048,31.275946,"121.496047,31.277946",121.496047,31.277946,POINT (121.496047 31.277946)
BX10035457,国权路地铁站1号口,18号线,交通设施服务;地铁站;出入口,150501,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.510670,31.289962",[],交通设施服务,地铁站,出入口,121.51067,31.289962,"121.506272,31.291987",121.506272,31.291987,POINT (121.506272 31.291987)
B0IATZO204,复旦大学国家大学科技园地面停车场(出入口),[],交通设施服务;停车场;停车场出入口,150909,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.505987,31.289074",[],交通设施服务,停车场,停车场出入口,121.505987,31.289074,"121.501572,31.291085",121.501572,31.291085,POINT (121.501572 31.291085)
B0IGC5D3PP,上海国际设计创新学院,四平路与赤峰路交叉口东北200米,科教文化服务;学校;高等院校,141201,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.505641,31.280329",[],科教文化服务,学校,高等院校,121.505641,31.280329,"121.501226,31.282343",121.501226,31.282343,POINT (121.501226 31.282343)
B0FFFFPJZQ,杨浦区大学生(青年)创业园,四平路1939-4附近(国权路地铁站1号口步行190米),商务住宅;产业园区;产业园区,120100,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.510613,31.290708",[],商务住宅,产业园区,产业园区,121.510613,31.290708,"121.506215,31.292732",121.506215,31.292732,POINT (121.506215 31.292732)
B0FFG4PG60,新华医院-儿神经外科门诊,控江路1665号新华医院2号楼3楼,医疗保健服务;医疗保健服务场所;医疗保健服务场所,090000,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.517747,31.274171",[],医疗保健服务,医疗保健服务场所,医疗保健服务场所,121.517747,31.274171,"121.513375,31.276223",121.513375,31.276223,POINT (121.513375 31.276223)
B0GR6O3FZA,德哥手足护理中心,大连路825号A座1楼,医疗保健服务;医疗保健服务场所;医疗保健服务场所,090000,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.508230,31.263440",[],医疗保健服务,医疗保健服务场所,医疗保健服务场所,121.50823,31.26344,"121.503826,31.265469",121.503826,31.265469,POINT (121.503826 31.265469)
B0IBKHG2ME,刘宸屹康养中心,四平路与国年路交叉口东20米,医疗保健服务;医疗保健服务场所;医疗保健服务场所,090000,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.511299,31.291071",[],医疗保健服务,医疗保健服务场所,医疗保健服务场所,121.511299,31.291071,"121.506903,31.293097",121.506903,31.293097,POINT (121.506903 31.293097)
B0HKH7FFQ0,叶子养生(控江店),控江路2028号海际商业广场F5,医疗保健服务;医疗保健服务场所;医疗保健服务场所,090000,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.509316,31.273493",[],医疗保健服务,医疗保健服务场所,医疗保健服务场所,121.509316,31.273493,"121.504915,31.275521",121.504915,31.275521,POINT (121.504915 31.275521)
B0HGR1OLJ4,德哥灰指甲甲沟炎跖疣鸡眼脚气修复(五角场店),杨浦区 国定路95号,医疗保健服务;医疗保健服务场所;医疗保健服务场所,090000,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.514916,31.293699",13764169352,医疗保健服务,医疗保健服务场所,医疗保健服务场所,121.514916,31.293699,"121.510533,31.295735",121.510533,31.295735,POINT (121.510533 31.295735)
B0IAP7SB43,NEO,邯郸路399号-A01五角场创场内里百货内,体育休闲服务;娱乐场所;酒吧,080304,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.510305,31.298078",18601772329,体育休闲服务,娱乐场所,酒吧,121.510305,31.298078,"121.505905,31.300099",121.505905,31.300099,POINT (121.505905 31.300099)
B0IALOEEDB,柯达冲印店(海上海店),大连路1168号2楼,生活服务;摄影冲印店;摄影冲印,071300,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.506568,31.267419",021-55968721;13636516426,生活服务,摄影冲印店,摄影冲印,121.506568,31.267419,"121.502157,31.269441",121.502157,31.269441,POINT (121.502157 31.269441)
B0FFI5DQ95,丰巢快递柜,控江路2063号五环大厦西座一楼大堂,生活服务;物流速递;物流速递,070500,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.508266,31.271403",[],生活服务,物流速递,物流速递,121.508266,31.271403,"121.503861,31.273428",121.503861,31.273428,POINT (121.503861 31.273428)
B0HU5XRD1P,菜鸟驿站(全家四平路店),[],生活服务;物流速递;物流速递,070500,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.504791,31.274750",[],生活服务,物流速递,物流速递,121.504791,31.27475,"121.500373,31.276764",121.500373,31.276764,POINT (121.500373 31.276764)
B0FFMAWKT9,顺丰速运,控江路1455弄一号后门(江浦路地铁站1号口步行460米),生活服务;物流速递;物流速递,070500,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.523524,31.276129",[],生活服务,物流速递,物流速递,121.523524,31.276129,"121.519172,31.278197",121.519172,31.278197,POINT (121.519172 31.278197)
B0HUFRVVVV,丰巢快递柜,国年路65弄之15-17号(国权路地铁站4号口步行170米),生活服务;物流速递;物流速递,070500,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.509747,31.291088",[],生活服务,物流速递,物流速递,121.509747,31.291088,"121.505346,31.29311",121.505346,31.29311,POINT (121.505346 31.29311)
B0HKM5A5KJ,黑龙江炒货(密云路店),密云路密云小区,购物服务;综合市场;果品市场,060704,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.496651,31.278201",[],购物服务,综合市场,果品市场,121.496651,31.278201,"121.492204,31.280189",121.492204,31.280189,POINT (121.492204 31.280189)
B0H1OX0G4R,LAVAZZA COFFEE(海上海·弘基休闲广场C区店),许昌路28号附近海上海·弘基休闲广场C区F1,餐饮服务;咖啡厅;咖啡厅,050500,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.507627,31.268115",[],餐饮服务,咖啡厅,咖啡厅,121.507627,31.268115,"121.50322,31.27014",121.50322,31.27014,POINT (121.50322 31.27014)
B0FFH5P9JN,菜鸟驿站(上海虹口区大连西路24号店),大连西路24号(四平路地铁站4号口步行260米),生活服务;物流速递;物流速递,070500,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.498620,31.276450",4001787878,生活服务,物流速递,物流速递,121.49862,31.27645,"121.49418,31.278444",121.49418,31.278444,POINT (121.49418 31.278444)
B0G26RNH6U,四平路东方商厦附近大型停车场,四平路金岛大厦西侧,交通设施服务;停车场;停车场相关,150900,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.515044,31.298319",[],交通设施服务,停车场,停车场相关,121.515044,31.298319,"121.510661,31.300353",121.510661,31.300353,POINT (121.510661 31.300353)
B0FFK8UPKN,新东方妈咪小屋,虹口区大连路1546号(近卓新路),生活服务;生活服务场所;生活服务场所,070000,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.504545,31.272440",[],生活服务,生活服务场所,生活服务场所,121.504545,31.27244,"121.500127,31.274454",121.500127,31.274454,POINT (121.500127 31.274454)
B0FFH2JOUP,上海东方大学城餐饮服务管理有限公司,国年路275弄15号,公司企业;公司;公司,170200,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.504768,31.294826",021-65642467,公司企业,公司,公司,121.504768,31.294826,"121.500349,31.296831",121.500349,31.296831,POINT (121.500349 31.296831)
B00151AF9D,中国石化江浦加油站,江浦路1903号,汽车服务;加油站;中国石化,010101,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.517032,31.278932",021-65038514,汽车服务,加油站,中国石化,121.517032,31.278932,"121.512658,31.28098",121.512658,31.28098,POINT (121.512658 31.28098)
B0FFHGFK9V,OC网东方有线四平路街道管理站,阜新路174号,生活服务;生活服务场所;生活服务场所,070000,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.506584,31.276365",021-65028670,生活服务,生活服务场所,生活服务场所,121.506584,31.276365,"121.502173,31.278383",121.502173,31.278383,POINT (121.502173 31.278383)
B0FFHR3DLZ,德国赫姆勒(东方商厦杨浦店),四平路2500号东方商厦B1层,购物服务;家居建材市场;厨卫市场,060604,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.515576,31.299059",[],购物服务,家居建材市场,厨卫市场,121.515576,31.299059,"121.511195,31.301095",121.511195,31.301095,POINT (121.511195 31.301095)
B0FFIXR0TM,东方家园21号楼,政本路115号,地名地址信息;门牌信息;楼栋号,190403,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.514342,31.290954",[],地名地址信息,门牌信息,楼栋号,121.514342,31.290954,"121.509957,31.292989",121.509957,31.292989,POINT (121.509957 31.292989)
B0FFJ3JSLN,东方家园14号楼,政本路115号,地名地址信息;门牌信息;楼栋号,190403,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.515215,31.291581",[],地名地址信息,门牌信息,楼栋号,121.515215,31.291581,"121.510833,31.293619",121.510833,31.293619,POINT (121.510833 31.293619)
B0FFIXR23H,东方家园3号楼,政本路115号,地名地址信息;门牌信息;楼栋号,190403,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.514777,31.290788",[],地名地址信息,门牌信息,楼栋号,121.514777,31.290788,"121.510394,31.292825",121.510394,31.292825,POINT (121.510394 31.292825)
B0FFIXPYJD,东方家园16号楼,政本路115号,地名地址信息;门牌信息;楼栋号,190403,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.514647,31.291630",[],地名地址信息,门牌信息,楼栋号,121.514647,31.29163,"121.510263,31.293666",121.510263,31.293666,POINT (121.510263 31.293666)
B0FFIXR3MD,东方家园4号楼,政本路115号,地名地址信息;门牌信息;楼栋号,190403,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.514684,31.290811",[],地名地址信息,门牌信息,楼栋号,121.514684,31.290811,"121.5103,31.292847",121.5103,31.292847,POINT (121.5103 31.292847)
B0FFIXQNAX,东方家园5号楼,政本路115号,地名地址信息;门牌信息;楼栋号,190403,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.515132,31.291254",[],地名地址信息,门牌信息,楼栋号,121.515132,31.291254,"121.51075,31.293292",121.51075,31.293292,POINT (121.51075 31.293292)
B0FFI0PAHJ,八发家电维修,国定路131号,生活服务;维修站点;维修站点,071200,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.516544,31.290572",[],生活服务,维修站点,维修站点,121.516544,31.290572,"121.512167,31.292614",121.512167,31.292614,POINT (121.512167 31.292614)
B0GR6C12X7,手机电脑维修,手机电脑售后维修中心政本路111号,生活服务;维修站点;维修站点,071200,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.514640,31.291111",[],生活服务,维修站点,维修站点,121.51464,31.291111,"121.510256,31.293147",121.510256,31.293147,POINT (121.510256 31.293147)
B0FFHO5RDD,电脑手机维修(迅维科技),抚顺路255-2号附近,购物服务;家电电子卖场;数码电子,060306,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.514577,31.279771",13764917231,购物服务,家电电子卖场,数码电子,121.514577,31.279771,"121.510194,31.281812",121.510194,31.281812,POINT (121.510194 31.281812)
B0FFFDDGWG,阳光电脑维修(锦西路),锦西路150弄1号,生活服务;维修站点;维修站点,071200,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.508080,31.273641",[],生活服务,维修站点,维修站点,121.50808,31.273641,"121.503674,31.275665",121.503674,31.275665,POINT (121.503674 31.275665)
B0FFM7FYXX,未来人类电脑售后维修中心,黄兴路1737号,生活服务;维修站点;维修站点,071200,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.519111,31.290761",[],生活服务,维修站点,维修站点,121.519111,31.290761,"121.514743,31.29281",121.514743,31.29281,POINT (121.514743 31.29281)
B00156GWO0,上海海源电子设备维修有限公司,黄兴路1599号新纪元国际广场15层1508号,公司企业;公司;公司,170200,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.521099,31.286842",[],公司企业,公司,公司,121.521099,31.286842,"121.516738,31.288898",121.516738,31.288898,POINT (121.516738 31.288898)
B0FFH0HZUQ,华为手机售后中心(国顺路店),国顺路66弄2号楼2302-A室,生活服务;维修站点;维修站点,071200,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.518674,31.291861",[],生活服务,维修站点,维修站点,121.518674,31.291861,"121.514304,31.293909",121.514304,31.293909,POINT (121.514304 31.293909)
B0FFGPUWZ4,上海Macbook苹果笔记本电脑维修点(杨浦店),国顺路66弄2号楼23层,生活服务;维修站点;维修站点,071200,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.518705,31.291904",[],生活服务,维修站点,维修站点,121.518705,31.291904,"121.514335,31.293952",121.514335,31.293952,POINT (121.514335 31.293952)
B0FFH1ZCFW,铭修苹果手机iphone维修店(杨浦区服务点),四平路2500号金岛大厦19楼1903B,生活服务;维修站点;维修站点,071200,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.515930,31.298300",[],生活服务,维修站点,维修站点,121.51593,31.2983,"121.51155,31.300337",121.51155,31.300337,POINT (121.51155 31.300337)
B0FFLBWZDT,五角场颐高数码广场苹果手机电脑专业维修点,邯郸路365号2楼L203室,生活服务;维修站点;维修站点,071200,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.508021,31.297367",15921517209,生活服务,维修站点,维修站点,121.508021,31.297367,"121.503613,31.299381",121.503613,31.299381,POINT (121.503613 31.299381)
B00156SLGX,上海悦鑫汽车专项修理有限公司,国权路93号-2号,汽车维修;汽车维修;汽车维修,030000,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.516843,31.287921",021-55580890,汽车维修,汽车维修,汽车维修,121.516843,31.287921,"121.512467,31.289965",121.512467,31.289965,POINT (121.512467 31.289965)
B0FFIA6N0O,上海毫阚汽车服务有限公司,国顺路165号,汽车维修;汽车综合维修;汽车综合维修|汽车服务;汽车服务相关;汽车服务相关,030100|010000,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.513591,31.290832",15921260016;13127937332,汽车维修,汽车综合维修,汽车综合维修|汽车服务,121.513591,31.290832,"121.509203,31.292865",121.509203,31.292865,POINT (121.509203 31.292865)
B0FFGFB2EU,杨浦顺风助动车修理,国顺路377号,摩托车服务;摩托车维修;摩托车维修|生活服务;维修站点;维修站点,040200|071200,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.510631,31.291944",[],摩托车服务,摩托车维修,摩托车维修|生活服务,121.510631,31.291944,"121.506233,31.293968",121.506233,31.293968,POINT (121.506233 31.293968)
B0GUU50SF6,Punchline Coffee&Roaster（同济店）,四平路1024号1幢1层103-104室,餐饮服务;咖啡厅;咖啡厅,050500,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.504798,31.277427",18611922788,餐饮服务,咖啡厅,咖啡厅,121.504798,31.277427,"121.50038,31.27944",121.50038,31.27944,POINT (121.50038 31.27944)
B00156NF0J,上海快E修电脑服务(邯郸路店),邯郸路365号颐高数码广场二楼B203,生活服务;生活服务场所;生活服务场所,070000,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.508681,31.297570",[],生活服务,生活服务场所,生活服务场所,121.508681,31.29757,"121.504275,31.299586",121.504275,31.299586,POINT (121.504275 31.299586)
B0FFLFG8IF,杨浦区戴尔服务中心,铁岭路32号同叶大厦一楼大厅101室,购物服务;家电电子卖场;数码电子,060306,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.514633,31.277912",021-33620955;18964664775,购物服务,家电电子卖场,数码电子,121.514633,31.277912,"121.51025,31.279954",121.51025,31.279954,POINT (121.51025 31.279954)
B00156YNRU,湘下人风味小吃,阜新路268号,餐饮服务;中餐厅;湖南菜(湘菜),050108,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.508535,31.279958",15000874118,餐饮服务,中餐厅,湖南菜(湘菜),121.508535,31.279958,"121.50413,31.281981",121.50413,31.281981,POINT (121.50413 31.281981)
B0HRVR0M22,赣湘小厨(绿色米兰奥特莱斯店),国权路39号绿色米兰奥特莱斯B2,餐饮服务;中餐厅;中餐厅,050100,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.518481,31.288294",[],餐饮服务,中餐厅,中餐厅,121.518481,31.288294,"121.514111,31.290342",121.514111,31.290342,POINT (121.514111 31.290342)
B0G0BU28RX,品湘阁浏阳蒸菜,大连路1550号,餐饮服务;餐饮相关场所;餐饮相关,050000,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.502974,31.273707",[],餐饮服务,餐饮相关场所,餐饮相关,121.502974,31.273707,"121.49855,31.275716",121.49855,31.275716,POINT (121.49855 31.275716)
B0FFH4LL4M,口湘堂(彰武路店),彰武路42号同济联合广场2层,餐饮服务;中餐厅;湖南菜(湘菜),050108,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.507489,31.281694",021-33626098,餐饮服务,中餐厅,湖南菜(湘菜),121.507489,31.281694,"121.50308,31.283713",121.50308,31.283713,POINT (121.50308 31.283713)
B0FFHRZIUM,千机网形象店(上海邯郸颐高店),邯郸路365号颐高数码广场2层L203室,生活服务;维修站点;维修站点,071200,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.508681,31.297570",15921517208,生活服务,维修站点,维修站点,121.508681,31.29757,"121.504275,31.299586",121.504275,31.299586,POINT (121.504275 31.299586)
B00155GQOK,悦鑫洗车坊,国权路93之1-2,汽车维修;汽车综合维修;汽车综合维修|汽车服务;洗车场;洗车场,030100|010500,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.516782,31.287947",021-55580890,汽车维修,汽车综合维修,汽车综合维修|汽车服务,121.516782,31.287947,"121.512406,31.289991",121.512406,31.289991,POINT (121.512406 31.289991)
B0H22NHP0M,顶中顶面馆,大连西路12号,餐饮服务;快餐厅;快餐厅,050300,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.500168,31.275966",18616220210,餐饮服务,快餐厅,快餐厅,121.500168,31.275966,"121.495733,31.277965",121.495733,31.277965,POINT (121.495733 31.277965)
B0IBKMGTEM,钟表眼镜修锁,[],生活服务;生活服务场所;生活服务场所,070000,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.516674,31.269820",[],生活服务,生活服务场所,生活服务场所,121.516674,31.26982,"121.512299,31.271871",121.512299,31.271871,POINT (121.512299 31.271871)
B0FFM78OEX,小舒开锁,赤峰路26号,购物服务;购物相关场所;购物相关场所,060000,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.500512,31.278675",[],购物服务,购物相关场所,购物相关场所,121.500512,31.278675,"121.496079,31.280674",121.496079,31.280674,POINT (121.496079 31.280674)
B00155HFSG,兰州牛肉拉面(大连路),大连路1550号(鞍山七村小区沿街商铺),餐饮服务;中餐厅;清真菜馆,050121,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.502918,31.273758",18697274966,餐饮服务,中餐厅,清真菜馆,121.502918,31.273758,"121.498494,31.275766",121.498494,31.275766,POINT (121.498494 31.275766)
B0FFG7JRC4,手表换电池(各类纽扣电池),赤峰路67号,购物服务;专卖店;专营店,061200,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.499608,31.279529",021-65985847;13761720718,购物服务,专卖店,专营店,121.499608,31.279529,"121.495171,31.281525",121.495171,31.281525,POINT (121.495171 31.281525)
B0FFHDBP4I,神舟电脑(邯郸路店),邯郸路365号神舟笔记本电脑售后维修中心,购物服务;家电电子卖场;数码电子,060306,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.508539,31.297494",13122833212,购物服务,家电电子卖场,数码电子,121.508539,31.297494,"121.504133,31.29951",121.504133,31.29951,POINT (121.504133 31.29951)
B0FFGE5Q5W,上海四平物业管理有限公司,鞍山路215弄5号甲,生活服务;生活服务场所;生活服务场所,070000,310000,上海市,21,上海市,310110,杨浦区,四平路,"121.509385,31.278456",[],生活服务,生活服务场所,生活服务场所,121.509385,31.278456,"121.504984,31.280482",121.504984,31.280482,POINT (121.504984 31.280482)
